,TF/IDF,Doc2Vec40,Doc2Vec100,LDA 10,LDA 20
Документ,,,,,
dialogue_2015_e395f4dac14429ddaccc57d56de833e6ada6ec3b,"0,6","0,7","0,9",1,1
ainl_2017_af1e0013d7e2784a32598ce84fcf3071a711944f,"0,4","0,9","0,8","0,8","0,5"
aist_2015_5c2e464f710796d0849d1edf4ae14e8222192735,"0,3","0,6","0,7","0,7","0,8"
ainl_2016_690b06044575a4287d05f144e90a4c66a15133a8,"0,3","0,8","0,6","0,9",1
ainl_2016_9b8e2a920b0cbecfdd4e580e2c5f0b2af0ad94e1,"0,2",1,"0,7","0,9","0,9"
dialogue_2012_9577168b37efef5c565150422f4152cc896ed336,"0,4","0,6","0,6","0,9","0,9"
dialogue_2016_9fdc27dfa1562e7797e67bb69a10038cd61ed990,0,"0,6","0,6","0,9","0,6"
aist_2017_cd430e771d65da847a08aef8cc82fcb7f7bed865,"0,2","0,5","0,6","0,7","0,4"
ainl_2015_3919051df147a4c014a12aa7a49706a258643950,"0,2","0,7","0,6","0,7","0,8"
aist_2017_859028ce4bab6c71cc02c1f7a74210867017bf62,"0,8","0,8","0,8","0,9","0,7"
ainl_2015_ab5f05e4c29beb973b1763ea1d7d2cae9d618d10,"0,6","0,8","0,6",1,"0,9"
dialogue_2017_b11e24ec840ba5e34f4d2668b2388f21f7577af5,"0,5","0,9","0,5","0,9","0,6"
dialogue_2010_9a68ac49595370279b9cd66c9cd0f98adb30803e,"0,3","0,8","0,7","0,8","0,8"
aist_2014_793ad5d2e1b4d6f72fa3e7275ac7b6b886d61749,"0,3","0,5","0,4","0,6","0,9"
aist_2016_c99d3dc8b81d33f758cf781d27409027ab9b509b,"0,2","0,5","0,6","0,9","0,4"
aist_2016_1ba82b96a62f1a33a29c9a031989d26279f1ad4c,"0,4","0,5","0,5",1,"0,6"
dialogue_2013_deddec313871a0a920cd612bf6746a30fd5fcb38,"0,6","0,6","0,7","0,8","0,5"
dialogue_2014_a4d95845121cf8536f6e5d7e59e7cdc1f0bcfd8f,"0,6","0,8","0,3","0,6","0,5"
ainl_2017_8a7924b89158c4c84ac036ef9be90fd82cf034fa,"0,5","0,9",1,"0,8","0,8"
dialogue_2011_6d61b181624e59e4adbeffe0eb6ab1b769c9f981,"0,5","0,9","0,6","0,9",1
Average,"0,395","0,72","0,64","0,835","0,73"
